Account length,Plan,Customer service calls,Total Calls,Total Minutes,Total Charge,Churn
120,False,3,260,674.3,62.87,False
136,False,1,355,681.3,75.54,True
106,False,0,338,528.9,57.68,False
81,False,3,319,560.6,57.02,False
127,True,1,291,595.6,56.81999999999999,False
35,False,2,345,574.6999999999999,56.21,False
88,False,2,287,483.40000000000003,39.769999999999996,False
123,False,3,301,680.8000000000001,68.02,False
126,True,2,303,461.9,53.8,False
93,True,0,285,669.5,76.66999999999999,True
63,True,1,319,698.9,70.45,False
100,False,3,346,614.5,64.77000000000001,False
53,False,0,299,554.3000000000001,57.309999999999995,False
92,True,1,367,655.5999999999999,62.78,False
110,True,2,338,565.3,57.54,False
110,False,3,323,477.3,41.04,False
73,False,1,295,509.99999999999994,55.83,False
138,False,0,298,516.7,57.209999999999994,False
137,True,2,280,504.59999999999997,47.73,True
36,False,1,333,720.0,73.25999999999999,False
85,False,3,256,603.3000000000001,63.95,False
108,False,0,237,830.6,75.02000000000001,True
22,False,0,301,488.6,44.57,False
107,True,0,291,435.1,33.67,False
51,False,0,223,658.1,64.74000000000001,False
82,False,3,289,621.4,65.21,False
97,True,0,283,605.9,58.599999999999994,False
108,False,1,334,552.3,51.28,False
114,False,1,307,542.5,48.260000000000005,False
59,False,1,286,568.6,56.349999999999994,False
24,True,1,279,612.1000000000001,58.03,False
151,False,1,262,516.9,49.269999999999996,False
117,False,1,310,551.3,53.76,False
114,True,1,259,769.1999999999999,73.35,False
119,False,3,271,586.2,53.53,False
118,True,2,321,530.1,53.1,False
101,False,0,325,696.0,69.42999999999999,False
117,False,1,311,523.3000000000001,49.32,False
49,True,3,298,663.8,67.88,False
139,False,3,304,643.4000000000001,65.35000000000001,False
92,True,1,286,595.0999999999999,55.71,False
148,True,0,276,641.3000000000001,67.04,False
131,True,2,255,683.6999999999999,66.33999999999999,False
146,True,3,345,656.7,66.23,False
48,True,1,280,527.9000000000001,59.35,False
86,True,1,281,759.3,75.42000000000002,False
71,False,3,278,667.5,63.540000000000006,False
137,False,2,313,537.6999999999999,57.10000000000001,False
137,False,2,262,719.6,69.76,False
167,False,0,254,609.3000000000001,61.83,False
132,False,0,317,363.4,36.14,False
94,False,1,336,523.6999999999999,54.79,False
96,True,1,272,575.4,55.03,False
166,False,1,381,610.4000000000001,62.33,False
74,False,2,240,485.9,44.76,False
36,False,0,275,594.1999999999999,56.49,False
67,False,2,276,489.4,50.57,False
158,False,1,313,700.7,65.03,False
136,False,1,294,570.0,49.61000000000001,False
196,False,2,298,665.7,71.24,False
113,False,1,344,762.9000000000001,81.0,True
112,False,0,292,579.5,60.559999999999995,False
62,False,1,307,747.6,76.5,True
110,True,1,302,625.4000000000001,67.7,False
16,False,0,229,606.1,62.199999999999996,False
73,False,0,339,589.1999999999999,51.71,False
128,False,0,319,603.9,55.29,False
39,False,1,327,502.9,45.23,False
103,True,2,285,559.6,52.849999999999994,False
119,True,3,259,529.8000000000001,50.55,False
173,True,3,321,722.3,71.16,False
128,True,2,258,576.6,63.559999999999995,True
86,False,0,257,729.1,66.60000000000001,False
114,True,1,276,548.3,50.33,False
104,False,0,297,640.5,58.690000000000005,False
148,False,1,321,595.8,50.0,False
129,False,3,329,620.4,63.01,False
100,True,0,332,437.70000000000005,37.43,False
143,True,1,320,640.5,70.27999999999999,False
76,False,0,315,616.3,64.02,False
158,False,0,294,539.9,62.81,False
116,False,3,329,643.1,67.25,False
54,False,1,270,728.1999999999999,78.92999999999999,True
108,False,0,268,649.3,63.07,False
66,False,1,266,594.8,59.730000000000004,False
151,True,1,235,530.9,58.199999999999996,False
99,False,0,253,621.5,62.36,False
55,False,2,374,680.5,63.53,False
78,False,0,298,614.4,67.04,False
89,False,1,261,661.3000000000001,65.5,True
101,False,1,372,725.5999999999999,68.31,False
44,True,0,259,625.2,65.48,False
98,True,2,268,485.5,36.97,False
64,True,1,297,417.2,44.43000000000001,False
141,False,3,378,581.6,67.47999999999999,False
81,True,1,313,558.1000000000001,52.98,False
162,False,1,338,573.0,61.92999999999999,False
83,True,3,339,458.9000000000001,49.58,False
79,False,1,334,431.09999999999997,46.699999999999996,False
117,False,2,274,605.3000000000001,61.44,False
31,False,1,298,471.79999999999995,48.029999999999994,False
122,True,2,315,492.4,49.93999999999999,False
37,True,1,291,484.29999999999995,51.01,False
90,True,1,313,598.9999999999999,57.62,False
159,True,1,268,761.0999999999999,80.86999999999999,True
39,True,1,370,608.1,57.07000000000001,False
194,False,0,289,579.0,57.33,False
45,False,1,338,604.6,51.17,False
132,False,1,366,469.90000000000003,42.57,False
128,False,0,297,644.3,67.75,False
56,False,2,309,655.7,65.43,False
151,True,0,241,613.9999999999999,62.24,True
32,False,2,304,576.8,59.09,False
90,False,2,240,676.0,63.31,False
138,False,2,321,487.8,50.52,False
79,False,1,355,653.0,65.18,False
95,True,1,287,662.1,64.53,True
127,False,2,313,621.5999999999999,63.56000000000001,False
137,False,3,263,666.4000000000001,71.21,False
97,False,1,319,561.7,53.75,False
149,True,0,264,576.4000000000001,55.050000000000004,False
117,True,1,289,748.0000000000001,71.9,False
84,False,2,301,601.7,58.52,False
99,False,3,262,750.9,65.09,False
85,False,1,342,531.1,49.870000000000005,False
150,False,3,278,659.8000000000001,57.269999999999996,False
43,False,1,318,638.0000000000001,62.00999999999999,False
112,False,2,270,617.4,65.25,False
16,False,0,279,612.3,66.91000000000001,True
98,True,0,279,489.00000000000006,62.71,False
84,False,1,363,507.2,52.66,False
66,False,1,282,599.6,59.480000000000004,True
98,True,1,314,578.5999999999999,52.62,False
74,False,0,333,582.6,60.67,False
119,False,1,347,557.8000000000001,62.00000000000001,False
92,True,0,284,633.1,70.06,False
21,False,0,272,509.90000000000003,47.11000000000001,False
133,True,1,280,523.9,51.86,False
145,False,2,339,556.6999999999999,57.50999999999999,False
25,False,2,266,531.4,53.81,False
126,False,3,329,651.3,70.93,False
76,False,0,259,522.9,51.93,False
113,False,2,248,769.6999999999999,77.88,True
128,True,1,239,592.4000000000001,55.839999999999996,False
115,False,2,283,731.1,70.69,False
141,True,2,387,652.3999999999999,67.88000000000001,False
51,False,1,321,528.5999999999999,66.75999999999999,False
100,False,0,284,696.7,70.96999999999998,False
96,True,3,305,663.0,68.87,False
163,False,1,341,428.5,41.940000000000005,False
67,True,1,295,548.2,48.59,False
49,False,2,321,619.5,56.53,False
46,False,2,296,719.2,77.07,True
148,False,1,310,653.3000000000001,65.56,False
112,False,1,270,697.5,71.97999999999999,False
78,False,2,337,497.7,51.44,False
61,True,0,255,704.3000000000001,77.86,False
58,True,1,282,534.7,61.39,False
155,False,1,356,714.2,69.78,False
100,False,0,280,682.5,74.39999999999999,True
113,False,1,325,688.5,66.62,False
135,True,1,358,685.5,73.94999999999999,False
99,False,0,259,579.1,58.89,False
59,True,1,302,492.7,49.190000000000005,False
135,False,1,364,601.7,68.27000000000001,False
85,True,2,350,720.1999999999999,63.08,False
88,False,3,368,563.0,54.22,False
55,False,2,348,620.9,70.7,False
75,False,1,260,438.49999999999994,45.18,False
86,True,0,295,727.3,72.99000000000001,False
97,False,1,327,764.1,79.89,True
88,False,1,353,685.5,77.1,True
54,False,2,240,549.2,57.44,False
11,True,3,291,597.0,60.839999999999996,False
109,False,0,328,469.09999999999997,51.400000000000006,False
90,False,1,328,628.6,72.0,False
91,False,0,253,615.4,53.54,False
105,True,0,291,694.5999999999999,66.17999999999999,False
71,True,3,321,541.7,56.41,True
132,True,3,335,677.0999999999999,68.38000000000001,True
112,False,1,278,640.5000000000001,60.739999999999995,False
41,True,2,297,626.7,66.57,False
44,False,1,337,656.1999999999999,68.53,False
78,False,3,292,509.2,44.38,False
149,False,1,273,393.40000000000003,33.22,False
74,False,3,242,594.1,53.38,False
50,False,1,327,656.3000000000001,70.89,False
141,True,3,347,540.1,51.22,False
140,False,1,358,617.0000000000001,54.88999999999999,False
99,False,2,305,631.2,61.05,False
166,False,1,262,559.1,60.589999999999996,False
74,False,0,280,594.9,54.99999999999999,False
117,False,2,310,632.0,60.41,False
85,False,3,310,688.3,70.5,False
36,True,0,313,420.6,44.379999999999995,False
76,False,0,346,751.6,73.41,False
165,False,1,317,681.1,69.39999999999999,False
130,False,1,298,579.5,56.86,False
92,True,2,335,644.9,57.9,True
18,False,1,333,647.0000000000001,69.74,False
161,True,2,301,527.1,52.949999999999996,False
93,True,2,322,492.09999999999997,53.43000000000001,False
144,False,2,289,657.3,65.94,False
95,False,1,297,502.90000000000003,55.989999999999995,False
124,True,1,319,735.9,75.24000000000001,False
93,True,1,296,663.5,69.21000000000001,True
109,True,0,328,652.6999999999999,64.43,False
80,False,0,289,637.2,63.45,False
41,False,1,222,558.2,52.57,False
136,True,2,278,618.9,57.769999999999996,False
143,True,1,328,655.1,64.29,False
193,True,1,315,544.3,50.88,False
73,False,3,290,638.5999999999999,68.03,False
62,False,2,296,627.5000000000001,60.089999999999996,False
30,True,0,267,665.0000000000001,67.13000000000001,False
60,True,0,301,603.8,72.18,True
148,True,1,298,449.79999999999995,43.629999999999995,False
96,False,2,309,595.5,53.059999999999995,False
87,False,1,294,575.3,58.8,False
41,False,3,296,479.20000000000005,55.1,False
112,False,1,302,558.4,66.59,False
176,False,2,330,388.8,32.5,False
30,False,0,325,614.0999999999999,66.17999999999999,False
46,False,2,352,490.00000000000006,45.879999999999995,False
100,True,0,333,622.9,52.800000000000004,False
47,True,2,270,606.4,57.61,False
77,False,2,270,622.2,58.64,False
98,True,2,243,685.1,70.08,False
125,True,1,302,374.59999999999997,44.93,False
194,False,1,327,566.2,46.86,False
128,True,1,296,527.7,54.120000000000005,False
190,True,0,290,479.0,51.60999999999999,False
59,False,2,333,551.8,49.199999999999996,False
47,True,1,288,430.6,45.519999999999996,False
95,True,1,314,658.3,58.45,False
31,True,0,285,607.3,51.03,False
44,False,3,298,748.7,82.32,True
61,True,2,358,392.20000000000005,37.529999999999994,False
65,False,2,287,569.9000000000001,57.46,False
74,True,2,264,503.1,54.709999999999994,False
123,False,0,293,702.2,66.39,False
58,True,1,293,654.3,64.45,False
74,False,2,318,691.0999999999999,64.77,True
125,False,2,322,584.4000000000001,49.98,False
53,True,0,328,642.7,61.29,False
99,True,1,311,646.6999999999999,66.80999999999999,False
99,False,1,300,485.59999999999997,46.44,False
66,True,2,308,726.3,73.46,False
97,False,3,282,527.7,58.75,False
85,True,2,295,554.9,60.309999999999995,False
108,False,2,282,607.5,72.64,False
133,True,2,348,670.3,71.86999999999999,True
51,False,1,316,575.8999999999999,58.8,False
186,True,2,316,562.4000000000001,44.95,False
44,True,1,285,486.8,43.13,False
64,True,3,322,653.2,69.93,False
114,True,1,286,707.9000000000001,81.80000000000001,False
92,False,3,279,659.9000000000001,67.09,False
110,False,2,328,481.5,50.22999999999999,False
90,True,1,298,565.3000000000001,59.33,False
72,True,1,317,725.4000000000001,73.1,False
113,False,1,382,810.1,78.19,True
171,True,3,288,567.4000000000001,63.05,False
104,False,1,324,499.2,51.61000000000001,False
165,False,1,263,665.5,58.8,False
104,False,0,305,720.9999999999999,75.65,True
110,False,1,339,430.9,35.18,False
90,True,1,389,649.8000000000001,67.01,False
114,False,1,303,415.2,43.91,False
109,False,2,306,688.6999999999999,72.89,False
92,False,2,318,486.50000000000006,49.81999999999999,False
82,True,2,345,640.0999999999999,67.00999999999999,False
90,False,2,331,649.8,64.25,False
87,True,1,301,553.9,49.94,False
124,False,3,251,491.20000000000005,49.18000000000001,False
84,False,1,314,506.8,52.16,False
75,True,0,305,671.0,67.07000000000001,False
102,False,2,310,528.2,48.480000000000004,False
62,True,0,273,492.69999999999993,53.16,True
143,False,1,288,517.1,56.29,False
53,False,3,360,578.9,46.470000000000006,False
129,False,0,329,571.3000000000001,57.67,False
28,False,0,309,655.8000000000001,65.32000000000001,False
90,False,1,225,659.6,62.93,False
41,True,2,326,658.1,70.11,False
48,True,1,276,613.3,58.91,False
153,False,1,306,504.40000000000003,55.92,False
110,True,0,264,763.2,81.81,True
163,False,1,301,666.4,64.53999999999999,False
126,False,1,308,434.70000000000005,43.21,False
126,False,0,315,636.3000000000001,58.78,False
97,False,3,304,529.3,54.019999999999996,False
95,True,0,292,614.7,63.519999999999996,True
97,False,1,309,489.0,46.26,False
76,False,0,355,750.6000000000001,83.37,True
140,False,0,303,604.7,61.53,False
169,False,0,278,533.9,47.97,False
68,True,3,309,557.1999999999999,48.07,False
122,True,2,302,471.70000000000005,46.62,False
36,False,2,324,719.5999999999999,66.03,False
64,True,0,319,552.5,54.17,False
13,True,1,307,685.1,72.80000000000001,False
106,False,0,312,484.6,45.81,False
74,False,1,331,582.0999999999999,57.0,False
83,False,0,280,597.1,62.14,False
49,False,0,307,734.3000000000001,73.88,False
111,True,1,312,654.7,67.08,False
50,True,3,361,597.7,67.53999999999999,False
88,False,1,348,482.70000000000005,52.52,False
79,False,3,231,735.0,75.56,True
140,False,2,326,607.3,69.64999999999999,False
105,False,1,251,607.5,64.36,False
87,True,3,292,583.8000000000001,65.3,False
96,True,1,330,569.5,58.739999999999995,False
130,False,2,306,497.00000000000006,58.88999999999999,False
34,False,0,296,478.9,47.910000000000004,False
139,False,1,268,445.8,45.77,False
63,False,0,233,720.3999999999999,71.07999999999998,False
152,False,3,306,412.69999999999993,50.08,False
147,False,1,311,620.4,62.01,False
112,True,2,378,681.8,64.6,False
120,False,2,323,563.6,65.03,False
171,False,1,334,639.0999999999999,67.96999999999998,False
101,True,0,324,609.6,63.5,False
151,False,0,286,491.6,52.47,False
60,False,3,243,596.4000000000001,54.95,False
42,False,0,343,520.5,60.61,False
84,False,1,291,580.8,64.83,False
65,False,0,328,564.0,59.05,False
75,True,1,302,766.1,77.32,True
189,True,3,308,541.6,65.05,False
63,True,1,334,457.30000000000007,33.86,False
108,False,1,342,616.0,61.96999999999999,False
71,False,1,328,544.4000000000001,66.29999999999998,False
137,False,1,319,522.9000000000001,51.92999999999999,False
96,False,1,330,434.9,38.6,False
37,False,0,274,707.5,66.92,False
98,False,0,288,606.1,64.49,False
121,False,0,308,410.2,38.94,False
94,False,0,319,434.4,45.06999999999999,False
99,False,1,329,612.8000000000001,61.2,False
163,True,1,293,589.6999999999999,56.46,False
161,False,3,294,615.3,64.59,False
99,False,1,271,471.29999999999995,40.23,False
108,False,1,267,608.9,62.97,False
84,True,3,294,657.2,60.89,False
139,False,2,259,563.2,59.019999999999996,False
69,False,3,301,684.4,66.7,False
106,False,2,283,425.4,36.58,False
168,True,2,261,569.4,57.71,False
57,True,2,344,709.9,71.63999999999999,False
67,False,1,291,616.8,64.48,False
127,False,1,353,545.5,56.22,False
78,False,2,291,653.0,63.58,False
100,True,0,270,590.9,56.94,False
113,False,1,341,527.9,61.480000000000004,False
78,False,3,305,595.7,56.64,False
129,True,1,309,602.6999999999999,62.0,False
57,False,2,314,593.1,56.04,False
82,False,1,315,609.8999999999999,54.0,False
94,False,3,264,706.9,76.4,True
90,False,2,329,734.0,72.41999999999999,False
48,False,2,296,638.2,73.21,False
85,True,2,297,583.3,62.39,False
93,True,1,335,544.7,57.470000000000006,False
169,True,3,285,538.0,40.8,False
91,True,2,345,561.2,54.169999999999995,True
68,False,1,295,622.0,60.13,False
101,False,1,294,611.8999999999999,61.70000000000001,False
67,True,1,215,591.3,65.11,False
66,False,0,317,453.70000000000005,38.4,False
158,False,1,302,571.3,59.84,False
78,False,1,301,645.7,64.72999999999999,False
119,True,1,307,560.6,56.89,False
120,False,1,338,508.9,47.93,False
155,False,1,342,614.9,60.339999999999996,False
106,False,1,333,621.2,68.31,False
146,True,3,282,495.9,50.830000000000005,False
101,True,0,297,559.3000000000001,50.04,False
22,True,3,259,488.2,54.18,False
41,False,1,318,595.1,60.05,False
69,False,2,275,522.2,56.69,False
33,False,2,292,612.2,66.08,False
112,False,1,302,556.8000000000001,52.220000000000006,False
136,True,2,309,690.7,62.89,False
128,False,1,252,674.6,66.88000000000001,False
27,False,2,322,582.6,62.34000000000001,False
161,True,1,338,642.8,63.60999999999999,False
120,True,0,259,621.4,58.48,False
113,False,2,322,563.4,59.09,False
122,True,0,290,667.5,71.1,True
148,True,2,383,614.1,66.38,False
74,False,3,274,621.4000000000001,67.93,False
106,False,1,305,593.1999999999999,62.56999999999999,False
179,False,1,273,589.6999999999999,58.510000000000005,False
77,False,0,305,619.8000000000001,61.93,False
127,True,1,350,534.7,54.620000000000005,True
80,False,1,300,598.9,57.43,False
61,True,0,324,678.0,71.14,False
135,True,2,247,582.8,52.1,False
107,True,2,248,622.1,72.00999999999999,False
112,True,1,390,507.5,53.519999999999996,False
103,True,3,272,522.8,40.309999999999995,False
69,False,3,215,645.2,70.51,False
85,False,0,264,616.0,64.27,False
24,False,2,299,668.0000000000001,74.11,True
90,False,2,294,478.2,55.75,False
137,False,3,257,513.7,48.230000000000004,False
69,True,1,287,698.5,77.34999999999998,True
45,False,2,337,580.8,51.02,False
73,False,1,318,609.6,63.83,False
92,False,1,298,636.0,66.45,False
113,True,1,339,485.1,51.45,False
135,True,2,348,605.8000000000001,65.56,False
100,True,1,370,520.9,51.74,False
96,True,1,296,672.9,74.32000000000001,False
108,False,1,336,638.1,69.69,False
84,False,0,290,763.6,72.46000000000001,False
134,False,1,264,765.5,73.47,False
72,False,0,244,692.9,73.79,False
83,False,0,284,512.3,57.94,False
137,False,0,344,477.40000000000003,51.83,False
56,True,1,319,505.9,48.27,False
61,True,0,232,545.0999999999999,54.71999999999999,False
171,True,1,299,633.5999999999999,62.78,False
58,False,0,348,530.0,59.7,False
156,False,1,262,429.20000000000005,41.85,False
166,False,0,304,656.3999999999999,65.77,False
75,False,2,291,775.2,82.28,True
83,False,1,298,659.1999999999999,69.17999999999999,False
150,False,1,334,596.8000000000001,56.2,False
92,True,2,332,458.2,49.53,False
80,False,0,290,352.4,33.79,False
134,False,1,283,580.1,57.14,False
77,True,1,236,457.70000000000005,46.49999999999999,False
147,False,2,308,502.59999999999997,56.629999999999995,False
74,False,1,315,577.6,58.580000000000005,False
138,True,1,315,580.8000000000001,58.129999999999995,False
64,False,2,350,641.8,61.330000000000005,False
120,False,2,213,558.5999999999999,61.42,False
121,True,3,331,516.1,50.949999999999996,True
88,False,2,280,670.1999999999999,66.75999999999999,False
104,False,3,287,427.7,35.54,False
27,False,1,266,357.0,35.72,False
81,True,0,321,614.3,65.15,False
64,True,0,319,545.6,48.79,False
107,True,1,348,744.1999999999999,73.59,False
88,True,1,269,646.0000000000001,69.02,False
111,False,3,348,604.1,52.44,False
67,True,2,287,462.4,47.89,False
102,False,1,308,537.5,61.010000000000005,False
146,True,1,258,569.4,57.489999999999995,False
96,False,1,335,677.4,63.010000000000005,True
149,False,0,306,646.5,68.53,False
129,False,2,300,583.7,63.71999999999999,False
166,False,0,343,584.1999999999999,65.14,False
149,False,3,267,727.7,73.06,False
70,False,3,305,638.4,56.71,False
66,False,2,383,630.0,68.99,False
160,False,1,304,645.3,60.97,False
129,True,1,286,567.1,60.39,False
93,False,3,281,764.8999999999999,79.36999999999999,True
169,False,2,339,592.9,58.31,False
58,False,1,361,570.3,55.55,False
45,False,1,303,590.4999999999999,61.419999999999995,False
155,False,3,323,438.2,49.74,False
119,True,0,344,645.9,69.81,False
86,False,1,263,514.4000000000001,48.830000000000005,False
42,False,0,324,585.0,61.44,False
123,False,0,338,629.5,54.870000000000005,False
149,True,1,284,633.6999999999999,63.79,False
160,False,1,304,719.7,64.77000000000001,False
132,True,1,328,557.9,56.309999999999995,False
137,False,1,311,601.6,57.57000000000001,False
129,True,1,313,589.1999999999999,69.44,False
62,False,1,248,519.5,64.93,False
32,False,1,255,570.3,56.78,False
86,False,3,329,623.0,53.160000000000004,False
130,False,1,367,575.2,59.47,False
42,False,1,326,455.20000000000005,50.81,False
73,False,2,274,567.1,66.49,False
66,True,2,341,694.3000000000001,74.05,False
103,True,0,329,501.7,45.599999999999994,False
128,False,1,250,701.2,63.71,False
104,False,2,306,657.8,63.29,False
103,False,0,331,432.59999999999997,48.77,False
87,False,1,342,483.09999999999997,43.33,False
109,True,1,278,597.7,59.370000000000005,True
106,False,2,315,571.0,56.67,False
125,False,2,363,502.79999999999995,47.93,False
108,True,0,327,627.4,66.73,False
125,False,1,337,621.8,55.68000000000001,False
72,True,0,299,504.5,46.96,False
23,False,2,383,725.6,85.46,True
73,False,0,288,574.8,61.84,False
61,False,1,323,714.2,75.08000000000001,True
118,True,1,230,490.09999999999997,45.010000000000005,False
127,True,0,314,515.5,41.150000000000006,False
42,True,0,314,540.1,53.72,False
45,False,2,273,453.80000000000007,47.60000000000001,False
50,True,1,318,827.2,77.98,False
152,False,2,336,448.8,40.2,False
105,False,2,317,625.8000000000001,55.24,False
72,False,0,283,528.9,43.93000000000001,False
52,False,1,307,780.9000000000001,71.98000000000002,False
125,False,1,324,533.6,57.059999999999995,False
143,False,1,268,455.0,43.06999999999999,False
65,False,1,238,537.1999999999999,47.83,False
80,False,1,283,755.8,71.78000000000002,False
43,False,1,318,371.90000000000003,32.92,False
143,False,0,303,508.79999999999995,56.42999999999999,False
81,True,0,306,476.8,48.129999999999995,False
205,True,2,306,519.3,53.31,False
